DateTime,Open,High,Low,Close,Volume_(BTC)
2014-02-11,688.34,720.0,631.0,675.1,40062.43735234
2014-02-12,677.0,685.19,631.58,651.99,15511.78725821
2014-02-13,650.04,660.0,601.54,604.11,28145.8136164
2014-02-14,609.4,712.9,538.01,669.0,68378.14539631
2014-02-15,670.34,673.17,628.88,655.83,20762.64009439
2014-02-16,655.83,670.0,590.01,621.0,26397.57091925
2014-02-17,621.0,664.99,610.0,633.66,19902.4393218
2014-02-18,633.66,650.0,609.99,627.7,14833.93993495
2014-02-19,627.7,636.0,617.0,623.01,11128.47837448
2014-02-20,623.01,631.0,560.9,561.86,34966.69850131
2014-02-21,561.86,589.0,530.01,581.35,29612.9371146
2014-02-22,581.35,619.88,562.15,610.88,18076.09102116
2014-02-23,610.77,646.0,599.78,610.09,20868.15490482
2014-02-24,609.9,629.0,514.02,535.49,51840.81217721
2014-02-25,535.49,545.8,400.0,535.0,115761.98662150001
2014-02-26,534.34,610.0,530.0,585.24,49110.9021643
2014-02-27,585.24,599.99,571.22,583.0,17048.07050459
2014-02-28,584.7,591.39,541.0,551.89,22634.32498737
2014-03-01,551.8,576.0,535.0,567.48,14303.941642669999
2014-03-02,567.46,570.99,553.0,566.24,6437.39852144
2014-03-03,565.38,710.0,562.02,677.69,64914.82037018
2014-03-04,677.69,702.24,633.64,673.0,28031.31700336
2014-03-05,673.27,679.97,651.9,669.99,12719.614182
2014-03-06,669.0,675.71,650.0,669.57,10404.69739337
2014-03-07,669.57,670.0,613.45,632.79,21449.42620587
2014-03-08,632.79,639.79,604.5,620.0,9699.02131269
2014-03-09,620.02,653.0,613.03,640.0,9121.47474745
2014-03-10,638.4,646.59,609.0,629.39,13350.32162613
2014-03-11,628.02,644.44,614.17,632.1,9166.62008516
2014-03-12,631.72,656.95,628.8,634.95,12741.36127291
2014-03-13,634.95,650.0,632.0,641.01,6728.15269572
2014-03-14,641.02,645.0,625.29,630.42,8676.83483514
2014-03-15,630.99,639.88,625.32,637.24,2202.21801447
